ODF25 Comdty,ODF27 Comdty,GOOG Equity,GOOGL Equity,PETR4 Equity
10.38,10.48,45.822,46.855,13.99
10.4,10.52,46.352,47.423,14.16
10.45,10.55,46.583,47.736,13.6
10.37,10.48,46.357,47.514,14.21
10.37,10.49,46.715,47.935,14.08
10.34,10.45,46.609,47.836,14.14
10.29,10.42,46.439,47.742,14.73
10.22,10.36,46.53,47.795,14.82
10.18,10.32,46.611,47.757,15.45
10.16,10.3,46.854,47.961,15.68
10.03,10.17,47.15,48.231,15.7
10.11,10.25,45.981,47.109,15.61
11.91,12.05,46.512,47.525,13.15
11.72,11.86,46.701,47.733,13.62
12.1,12.21,47.093,48.204,13.4
11.63,11.78,47.441,48.527,13.49
11.19,11.32,47.748,48.881,13.94
11.22,11.33,48.477,49.593,13.74
11.12,11.27,48.574,49.664,13.68
11.01,11.14,,,13.57
11.05,11.19,48.794,49.808,13.36
10.96,11.07,48.243,49.355,12.96
11.05,11.15,48.348,49.415,12.82
11.12,11.21,48.78,49.806,13.05
11.2,11.28,49.184,50.194,13.18
11.1,11.2,48.829,49.834,13.18
11.11,11.2,49.054,50.08,12.87
11.13,11.24,49.171,50.214,12.84
11.03,11.13,47.492,48.506,12.85
10.97,11.07,47.145,48.091,12.9
11.0,11.1,47.67,48.525,12.94
10.9,11.0,47.538,48.396,12.62
,,47.116,48.009,
10.71,10.83,46.989,47.931,12.28
10.59,10.72,47.869,48.761,12.29
10.74,10.86,47.532,48.45,11.86
10.81,10.94,47.973,48.93,11.64
10.88,11.0,47.855,48.831,12.04
10.9,11.02,48.28,49.305,11.93
10.86,10.99,47.614,48.605,12.27
10.99,11.1,46.367,47.405,12.21
10.85,10.98,47.025,48.051,12.08
10.85,10.96,45.89,46.891,12.18
10.75,10.87,45.437,46.484,12.37
10.67,10.76,44.935,45.973,12.36
10.74,10.87,,,12.43
10.72,10.84,45.586,46.613,12.21
10.7,10.83,45.335,46.385,12.17
10.79,10.91,45.93,47.04,11.93
10.7,10.81,46.44,47.55,11.98
10.69,10.81,46.505,47.677,12.33
10.47,10.6,47.192,48.383,12.94
10.52,10.63,47.358,48.443,12.87
10.4,10.53,47.8,48.846,13.05
10.37,10.52,47.671,48.798,12.89
10.3,10.46,48.27,49.348,12.94
10.2,10.37,48.545,49.639,13.23
10.19,10.35,48.408,49.61,13.1
10.18,10.33,48.646,49.692,12.69
10.2,10.35,49.017,49.915,12.88
10.25,10.39,47.535,48.451,13.22
10.25,10.38,47.39,48.265,12.98
10.14,10.26,46.705,47.626,13.0
10.17,10.31,47.076,47.917,13.13
10.15,10.28,46.525,47.275,13.29
10.15,10.27,46.542,47.328,13.12
10.06,10.2,46.52,47.382,13.51
9.98,10.1,46.183,47.015,13.31
9.97,10.1,46.398,47.29,13.4
10.04,10.17,46.468,47.288,13.55
10.09,10.22,46.34,47.21,13.49
10.19,10.32,46.145,47.004,13.52
10.3,10.42,45.362,46.18,13.19
10.25,10.38,45.72,46.505,12.95
10.26,10.38,46.134,46.947,13.08
10.25,10.37,46.111,46.904,13.15
10.25,10.38,46.348,47.213,13.13
10.43,10.55,45.549,46.383,13.05
10.29,10.43,45.534,46.309,13.6
10.38,10.52,45.333,46.044,13.34
10.37,10.5,46.235,47.02,13.79
10.3,10.45,46.35,47.129,13.76
10.23,10.4,46.064,46.845,13.8
10.26,10.43,45.795,46.525,13.88
10.24,10.41,45.691,46.407,13.87
10.25,10.42,46.064,46.788,13.85
10.23,10.43,46.479,47.182,13.45
10.14,10.33,46.967,47.762,13.65
10.17,10.36,46.867,47.6,14.02
10.14,10.33,,,14.17
10.01,10.22,46.423,47.074,14.41
9.89,10.11,46.39,47.101,15.02
,,46.798,47.495,
9.82,10.02,46.325,47.07,14.71
9.91,10.12,46.454,47.165,14.99
9.97,10.18,46.604,47.332,14.87
9.97,10.19,46.755,47.522,15.03
9.87,10.1,46.256,47.007,15.04
9.93,10.14,46.015,46.765,15.04
9.91,10.12,45.75,46.488,15.04
9.85,10.09,46.091,46.843,15.14
9.81,10.05,46.579,47.377,15.87
9.72,9.98,46.623,47.378,15.67
9.75,10.0,46.427,47.163,15.69
9.9,10.14,46.049,46.714,15.84
9.84,10.1,46.243,46.872,15.56
9.95,10.2,47.225,47.995,15.31
9.88,10.13,47.475,48.241,15.34
9.82,10.07,47.956,48.686,15.3
9.83,10.08,47.664,48.374,15.4
9.91,10.16,47.89,48.604,15.98
9.92,10.15,47.584,48.339,15.66
10.06,10.29,48.498,49.26,15.9
9.9,10.13,48.945,49.682,15.69
9.99,10.2,48.85,49.616,15.89
9.94,10.15,48.63,49.39,16.19
9.98,10.19,49.463,50.283,16.08
,,49.392,50.283,
9.97,10.18,49.484,50.394,16.08
10.04,10.24,49.6,50.468,16.12
9.93,10.14,49.609,50.55,16.13
9.92,10.12,49.64,50.637,16.16
9.82,10.05,49.223,50.092,16.15
9.85,10.05,49.41,50.254,16.22
9.91,10.12,48.423,49.277,16.2
9.95,10.14,48.527,49.425,16.51
9.91,10.1,48.667,49.573,16.72
10.12,10.28,48.628,49.571,16.73
10.09,10.25,50.963,51.684,17.03
10.15,10.29,50.856,51.657,16.78
10.18,10.34,50.832,51.652,16.77
10.29,10.47,51.275,52.13,16.9
,,51.279,52.149,
10.48,10.66,51.624,52.5,16.94
10.32,10.5,51.295,52.134,17.43
10.4,10.58,51.667,52.62,16.5
10.36,10.57,51.992,52.915,16.95
10.36,10.56,51.563,52.386,16.72
10.52,10.72,51.403,52.208,16.72
10.6,10.84,51.288,52.06,16.64
10.75,10.99,51.3,52.082,15.35
,,51.046,51.821,
10.59,10.81,51.625,52.424,15.81
10.47,10.66,50.955,51.795,16.02
,,50.919,51.733,
